Company Name,Industry,Symbol,Series,ISIN Code
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK.BO,EQ,INE238A01034
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA.BO,EQ,INE028A01039
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK.NS,EQ,INE171A01029
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK.NS,EQ,INE040A01026
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK.NS,EQ,INE090A01021
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK.BO,EQ,INE095A01012
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK.BO,EQ,INE237A01028
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK.BO,EQ,INE976G01028
State Bank of India,FINANCIAL SERVICES,SBIN.NS,EQ,INE062A01020
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK.NS,EQ,INE528G01027
