Company Name,Industry,Symbol,Series,ISIN Code
Axis Bank Limited,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
Bajaj Finance Limited,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
Bajaj Finserv Limited,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018
Bajaj Holdings & Investment Limited,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012
Cholamandalam Investment and Finance Company Limited,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024
Edelweiss Financial Services Limited,FINANCIAL SERVICES,EDELWEISS,EQ,INE532F01054
HDFC Bank Limited,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01026
HDFC Life Insurance Company Limited,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014
Housing Development Finance Corporation Limited,FINANCIAL SERVICES,HDFC,EQ,INE001A01036
ICICI Bank Limited,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
ICICI Lombard General Insurance Company Limited,FINANCIAL SERVICES,ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Limited,FINANCIAL SERVICES,ICICIPRULI,EQ,INE726G01019
Indiabulls Housing Finance Limited,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
Indiabulls Ventures Limited,FINANCIAL SERVICES,IBVENTURES,EQ,INE274G01010
Kotak Mahindra Bank Limited,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028
Mahindra & Mahindra Financial Services Limited,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
Power Finance Corporation Limited,FINANCIAL SERVICES,PFC,EQ,INE134E01011
REC Limited,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
Shriram Transport Finance Co. Limited,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
